"ItemId","ItemCode","ItemName","ImageKey","SourceUrl","ImageIndex","MatchRule"
"37","LBDT46C1-5000","4X6 1"" Core 112/plt 250/roll (20 rls)","label","https://guspackaging.com/uploads/202210/21/uj0kmv1LBWcncANlD402.png","101","Label category image"
"38","LBDT46C1-4000","03DT40X601BC 4X6 1"" Core 117/plt250/roll 16rls","label","https://guspackaging.com/uploads/202210/21/uj0kmv1LBWcncANlD402.png","101","Label category image"
"39","LBDT46C3-1000","4X6 3"" Core 117/plt gW:2244lbs/Case","label","https://guspackaging.com/uploads/202210/21/uj0kmv1LBWcncANlD402.png","101","Label category image"
"40","LBTT46F","LABEL 4'x6' Thermal Transfer FANFOLD","label","https://guspackaging.com/uploads/202210/21/uj0kmv1LBWcncANlD402.png","101","Label category image"
"41","LBTT46C3","LABEL 4'X6' Thermal Transfer 3' CORE117cs/plt 4000pcs/Case white","label","https://guspackaging.com/uploads/202210/21/uj0kmv1LBWcncANlD402.png","101","Label category image"
"42","KRT-3450","Kraft TAPE 3' x 137 M (450F) RHINO 10rls/Case 105cs/plt","kraft","https://guspackaging.com/uploads/202210/21/gh89kFVsNUnm-GyWhcP6.png","101","Kraft tape image"
"43","KRT-72MMX174M","Reiforce Tape 72mmx174m 10Rolls/Case PRINT IN BLACK","kraft","https://guspackaging.com/uploads/202210/21/gh89kFVsNUnm-GyWhcP6.png","101","Kraft tape image"
"44","KRT-3450/WARNING","3""X137M(450F) RHINORED PRINT 10rls/Case/WARNING","kraft","https://guspackaging.com/uploads/202210/21/gh89kFVsNUnm-GyWhcP6.png","101","Kraft tape image"
"45","MH-81","MH81 PP Hinge White Container 8*8 One Comp RHINO 150PC/Case","clamshell","https://guspackaging.com/uploads/202508/01/NGe9UDFbOByuv23RKR9n.png","101","Hinged clamshell/takeout box image"
"46","MH-83","MH83 PP Hinge White Container 8*8 Three CompRHINO 150PC/Case","clamshell","https://guspackaging.com/uploads/202508/01/NGe9UDFbOByuv23RKR9n.png","101","Hinged clamshell/takeout box image"
"47","MH-91","MH91 PP Hinge White Container 9*9 One CompRHINO 150PC/Case","clamshell","https://guspackaging.com/uploads/202508/01/NGe9UDFbOByuv23RKR9n.png","101","Hinged clamshell/takeout box image"
"48","MH-93","MH93 PP Hinge White Container 9*9 Three Comp RHINO 150PC/Case","clamshell","https://guspackaging.com/uploads/202508/01/NGe9UDFbOByuv23RKR9n.png","101","Hinged clamshell/takeout box image"
"49","MH-225","MH225 PP Hinge White Container 6*6 One CompRHINO 250 PC/Case","clamshell","https://guspackaging.com/uploads/202508/01/NGe9UDFbOByuv23RKR9n.png","101","Hinged clamshell/takeout box image"
"50","MH-96","MH96 PP Hinge White Container 9*6 One CompRHINO 150PC/Case","clamshell","https://guspackaging.com/uploads/202508/01/NGe9UDFbOByuv23RKR9n.png","101","Hinged clamshell/takeout box image"
